GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter
-2106311596,Descent2e,0,ROUND_OVER,72,10,4,2,
-2106311596,Descent2e,1,ROUND_OVER,151,9,4,2,
-2106311596,Descent2e,2,ROUND_OVER,180,9,4,2,
-2106311596,Descent2e,3,ROUND_OVER,212,9,4,2,
-2106311596,Descent2e,4,ROUND_OVER,238,8,4,2,
-434876880,Descent2e,0,ROUND_OVER,124,10,4,3,
-434876880,Descent2e,1,ROUND_OVER,160,9,4,3,
-434876880,Descent2e,2,ROUND_OVER,208,9,4,3,
-434876880,Descent2e,3,ROUND_OVER,254,9,4,3,
-1531226042,Descent2e,0,ROUND_OVER,102,9,4,4,
-1531226042,Descent2e,1,ROUND_OVER,149,10,4,4,
-1531226042,Descent2e,2,ROUND_OVER,199,9,4,4,
-1531226042,Descent2e,3,ROUND_OVER,230,9,4,4,
1472162448,Descent2e,0,ROUND_OVER,85,10,4,5,
1472162448,Descent2e,1,ROUND_OVER,125,9,4,5,
1472162448,Descent2e,2,ROUND_OVER,152,8,4,5,
1472162448,Descent2e,3,ROUND_OVER,183,8,4,5,
1098128611,Descent2e,0,ROUND_OVER,107,10,4,6,
1098128611,Descent2e,1,ROUND_OVER,160,10,4,6,
1098128611,Descent2e,2,ROUND_OVER,208,10,4,6,
1098128611,Descent2e,3,ROUND_OVER,248,9,4,6,
726075031,Descent2e,0,ROUND_OVER,103,10,4,7,
726075031,Descent2e,1,ROUND_OVER,137,9,4,7,
726075031,Descent2e,2,ROUND_OVER,164,8,4,7,
726075031,Descent2e,3,ROUND_OVER,187,8,4,7,
1949019889,Descent2e,0,ROUND_OVER,114,10,4,8,
1949019889,Descent2e,1,ROUND_OVER,135,9,4,8,
1949019889,Descent2e,2,ROUND_OVER,161,9,4,8,
1949019889,Descent2e,3,ROUND_OVER,186,8,4,8,
-868400014,Descent2e,0,ROUND_OVER,119,10,4,9,
-868400014,Descent2e,1,ROUND_OVER,160,9,4,9,
-868400014,Descent2e,2,ROUND_OVER,205,9,4,9,
-868400014,Descent2e,3,ROUND_OVER,244,9,4,9,
1658705723,Descent2e,0,ROUND_OVER,88,10,4,10,
1658705723,Descent2e,1,ROUND_OVER,144,10,4,10,
1658705723,Descent2e,2,ROUND_OVER,186,10,4,10,
1658705723,Descent2e,3,ROUND_OVER,231,10,4,10,
-1459022739,Descent2e,0,ROUND_OVER,123,10,4,11,
-1459022739,Descent2e,1,ROUND_OVER,158,10,4,11,
-1459022739,Descent2e,2,ROUND_OVER,206,10,4,11,
-1459022739,Descent2e,3,ROUND_OVER,251,10,4,11,
686380075,Descent2e,0,ROUND_OVER,97,9,4,12,
686380075,Descent2e,1,ROUND_OVER,142,10,4,12,
686380075,Descent2e,2,ROUND_OVER,200,10,4,12,
686380075,Descent2e,3,ROUND_OVER,238,10,4,12,
-1832735679,Descent2e,0,ROUND_OVER,97,10,4,13,
-1832735679,Descent2e,1,ROUND_OVER,130,9,4,13,
-1832735679,Descent2e,2,ROUND_OVER,164,9,4,13,
-1832735679,Descent2e,3,ROUND_OVER,207,9,4,13,
-170836685,Descent2e,0,ROUND_OVER,89,9,4,14,
-170836685,Descent2e,1,ROUND_OVER,127,9,4,14,
-170836685,Descent2e,2,ROUND_OVER,167,9,4,14,
-170836685,Descent2e,3,ROUND_OVER,217,9,4,14,
192253389,Descent2e,0,ROUND_OVER,105,10,4,15,
